iter	RMSE
0	14.54487712
1	14.116974
2	13.65404566
3	13.24389563
4	12.89124589
5	12.55080877
6	12.25038117
7	11.95994618
8	11.66931108
9	11.4128337
10	11.08937676
11	10.77034173
12	10.51118134
13	10.24180261
14	10.01311752
15	9.767194099
16	9.532592463
17	9.311080236
18	9.09083495
19	8.88541546
20	8.726161269
21	8.568476247
22	8.446155983
23	8.299705177
24	8.152277967
25	8.039906554
26	7.902160549
27	7.75919274
28	7.651460768
29	7.531808545
30	7.421374335
31	7.319719916
32	7.226829436
33	7.14523854
34	7.048737203
35	6.974295224
36	6.891647954
37	6.831134241
38	6.762778816
39	6.709242538
40	6.654926111
41	6.597536338
42	6.535934623
43	6.487050275
44	6.439932115
45	6.389025537
46	6.332598915
47	6.294419596
48	6.251073663
49	6.210118766
50	6.173447995
51	6.137930259
52	6.105217837
53	6.068868349
54	6.034840001
55	6.005261359
56	5.97833032
57	5.945857753
58	5.928176177
59	5.907121848
60	5.889449937
61	5.869655657
62	5.851105856
63	5.826209653
64	5.804699209
65	5.786534319
66	5.765677354
67	5.750233091
68	5.733473821
69	5.7182504
70	5.697141929
71	5.683756582
72	5.670395673
73	5.66037118
74	5.648693356
75	5.637139487
76	5.625828971
77	5.617389548
78	5.602224417
79	5.58613237
80	5.576999748
81	5.567356527
82	5.553088625
83	5.540386886
84	5.531039084
85	5.523842797
86	5.51519237
87	5.504774689
88	5.49564709
89	5.492243282
90	5.487246313
91	5.480594988
92	5.472179811
93	5.463000137
94	5.454192166
95	5.449864882
96	5.444104941
97	5.435636231
98	5.428332232
99	5.424690213
100	5.417559345
101	5.408654388
102	5.402366802
103	5.396179754
104	5.383736375
105	5.379418861
106	5.376086062
107	5.368402113
108	5.36113596
109	5.356889707
110	5.350184868
111	5.345420272
112	5.339690529
113	5.33370542
114	5.329986634
115	5.327095896
116	5.324345896
117	5.317482899
118	5.315546217
119	5.31113138
120	5.306893796
121	5.302658755
122	5.297074107
123	5.29373188
124	5.290801831
125	5.287315489
126	5.283190427
127	5.27983129
128	5.27594905
129	5.273090894
130	5.268754544
131	5.263079459
132	5.261393125
133	5.256778506
134	5.252733771
135	5.245582591
136	5.242734789
137	5.23668226
138	5.230874219
139	5.224769824
140	5.221578139
141	5.219910608
142	5.216396998
143	5.213493798
144	5.212423911
145	5.207429427
146	5.204742019
147	5.202147493
148	5.197714664
149	5.195034205
150	5.188276558
151	5.185715598
152	5.182217831
153	5.177461104
154	5.17570829
155	5.17537412
156	5.173060532
157	5.171172732
158	5.168673373
159	5.160839472
160	5.156495483
161	5.153464147
162	5.152264439
163	5.150425815
164	5.148991495
165	5.147198753
166	5.144045318
167	5.140645847
168	5.136802651
169	5.133534791
170	5.127368795
171	5.123308742
172	5.122180868
173	5.118703534
174	5.11621558
175	5.113158523
176	5.106952685
177	5.106694035
178	5.105437214
179	5.09882703
180	5.094458139
181	5.088933742
182	5.082909514
183	5.079944932
184	5.077119277
185	5.075651639
186	5.071691382
187	5.067848235
188	5.06227669
189	5.060502802
190	5.059017824
191	5.057337195
192	5.054143927
193	5.052147856
194	5.05192255
195	5.050230881
196	5.046806186
197	5.045476572
198	5.042999848
199	5.041064059
