iter	Passed	Remaining
0	1	284
1	2	287
2	4	272
3	5	271
4	6	269
5	8	261
6	9	266
7	11	268
8	13	278
9	15	292
10	17	294
11	18	291
12	20	298
13	22	302
14	24	302
15	26	301
16	27	294
17	28	292
18	31	295
19	32	294
20	34	294
21	37	300
22	38	298
23	40	296
24	42	294
25	44	300
26	47	302
27	49	304
28	50	299
29	51	294
30	53	291
31	55	291
32	56	288
33	59	288
34	60	285
35	61	282
36	63	278
37	64	276
38	67	277
39	68	275
40	71	276
41	73	278
42	76	278
43	78	276
44	79	274
45	81	273
46	84	276
47	86	273
48	87	270
49	89	268
50	91	265
51	92	263
52	93	260
53	95	258
54	98	258
55	99	256
56	101	254
57	102	251
58	104	250
59	106	247
60	108	247
61	111	248
62	113	246
63	114	244
64	117	243
65	118	241
66	120	238
67	122	238
68	125	238
69	126	235
70	128	232
71	130	231
72	132	230
73	134	229
74	136	227
75	137	225
76	139	222
77	140	220
78	143	220
79	146	219
80	148	218
81	150	216
82	152	215
83	154	212
84	156	211
85	157	209
86	160	207
87	161	205
88	163	203
89	164	201
90	165	198
91	166	195
92	169	194
93	170	192
94	172	190
95	174	188
96	175	186
97	176	183
98	177	181
99	179	179
100	181	178
101	183	176
102	185	174
103	186	172
104	188	170
105	189	167
106	190	165
107	192	163
108	194	162
109	196	160
110	198	158
111	199	156
112	201	154
113	202	152
114	203	150
115	205	148
116	206	146
117	208	144
118	210	143
119	211	141
120	213	139
121	214	137
122	215	134
123	217	133
124	218	131
125	221	129
126	222	128
127	224	126
128	225	124
129	227	122
130	228	120
131	231	119
132	233	117
133	235	116
134	237	114
135	239	112
136	241	110
137	243	109
138	245	107
139	247	106
140	248	104
141	250	102
142	252	100
143	253	98
144	255	96
145	257	95
146	258	93
147	260	91
148	261	89
149	263	87
150	265	86
151	266	84
152	268	82
153	270	80
154	272	79
155	274	77
156	275	75
157	277	73
158	279	72
159	281	70
160	283	68
161	285	66
162	286	65
163	288	63
164	289	61
165	291	59
166	292	57
167	294	56
168	296	54
169	299	52
170	300	50
171	301	49
172	303	47
173	305	45
174	307	43
175	309	42
176	312	40
177	313	38
178	315	37
179	316	35
180	318	33
181	320	31
182	323	30
183	325	28
184	327	26
185	328	24
186	330	22
187	332	21
188	334	19
189	335	17
190	337	15
191	338	14
192	340	12
193	341	10
194	342	8
195	343	7
196	346	5
197	347	3
198	350	1
199	351	0
